mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
-1.0,1828208.0,2.0,81.0,0.0,0.0,0.0,1,CENTRE PRINCIPAL DES IMPOTS DU LITTORAL 1,J,SERVICES FINANCIERS,0.0
0.0,10065.0,1.0,21.0,0.0,0.0,0.0,1,CENTRE DIVI DES IMPOTS DE DOUALA 5,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,1098510.0,3.0,131.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,V,SERV. FOURN. AUX ENTREPRISES,1.0
2.0,8541.0,1.0,19.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,3358131.0,0.0,84.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,R,EXPLOITATION FORESTIERE,1.0
0.0,1706025.0,0.0,123.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 2,R,FABRICATION DE PRODUITS METALLURGIQUES DE BASE ET D'OUVRAGES EN METAUX,1.0
-1.0,162863.0,0.0,39.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,R,COMMERCE GENERAL,0.0
-1.0,769576.0,0.0,140.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 10,R,SERV. FOURN. AUX ENTREPRISES,1.0
-1.0,-440.0,3.0,4.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,23667.0,2.0,5.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,J,ACTIVITES D'INFORMATION ET DE TELECOMMUNICATIONS,0.0
0.0,9209.0,2.0,5.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
0.0,123226.0,0.0,6.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,76724.0,0.0,2.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,"AUTRES ACTIVITES FOURNIES A LA COLLECTIVITE, ACTIVITES SOCIALES ET PERSONNELLES",0.0
